,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
82,Spring2017,32271,AE 0291,03,3.000,Business Ethics,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/17-05/02', 'location': 'DSB 105'}]",['W 1100am-0130pm 01/17-05/02 DSB 105'],Norma   Schmidt,30,30,0
83,Spring2017,32272,AE 0291,04,3.000,Business Ethics,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DSB 105'}]",['W 0200pm-0430pm 01/17-05/02 DSB 105'],Norma   Schmidt,30,30,0
84,Spring2017,32273,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,20,17,3
85,Spring2017,32274,AE 0291,OL2,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,20,18,2
86,Spring2017,32912,AE 0291,OL3,3.000,Business Ethics,[],[],Jeffrey L.  Yoder,20,20,0
87,Spring2017,31133,AE 0391,01,3.000,"Seminar in Business Law, Regulation, and Ethics","[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'BNW 253'}]",['M 0630pm-0900pm 01/17-05/02 BNW 253'],David P.  Schmidt,15,12,3
88,Spring2017,33049,AE 0399,DS,3.000,Special Topics in Applied Ethics,[],[],David P.  Schmidt,0,1,-1
89,Spring2017,31282,AR 0111,01,3.000,Elementary Modern Standard Arabic II,"[{'days': 'MWR', 'times': '0200pm-0250pm', 'dates': '01/17-05/02', 'location': 'CNS 5'}]",['MWR 0200pm-0250pm 01/17-05/02 CNS 5'],Abdel Illah A.  Douda,18,6,12
90,Spring2017,31343,AR 0211,01,3.000,Intermediate Modern Standard Arabic II,"[{'days': 'MWR', 'times': '0500pm-0550pm', 'dates': '01/17-05/02', 'location': 'BNW 335'}]",['MWR 0500pm-0550pm 01/17-05/02 BNW 335'],Abdel Illah A.  Douda,18,3,15
91,Spring2017,33038,AR 0382,01,3.000,Coordinating Seminar,[],[],Abdel Illah A.  Douda,2,2,0
92,Spring2017,31192,AH 0010,01,3.000,Origins and Transformations in Western Art,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/17-05/02', 'location': 'CNS 1'}]",['MR 0330pm-0445pm 01/17-05/02 CNS 1'],Megan K.  Paqua,25,24,1
93,Spring2017,32973,AH 0010,OL1,3.000,Origins and Transformations in Western Art,[],[],Alison C.  Poe,20,17,3
94,Spring2017,31080,AH 0011,01,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['TF 0930am-1045am 01/17-05/02 CNS 6'],Philip I.  Eliasoph,25,24,1
95,Spring2017,31081,AH 0011,02,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['TF 1100am-1215pm 01/17-05/02 CNS 6'],Philip I.  Eliasoph,25,24,1
96,Spring2017,31082,AH 0011,03,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'BLM LL105'}]",['MR 0930am-1045am 01/17-05/02 BLM LL105'],Marice E.  Rose,25,25,0
97,Spring2017,31322,AH 0011,04,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'BLM LL105'}]",['MR 1100am-1215pm 01/17-05/02 BLM LL105'],Marice E.  Rose,25,25,0
98,Spring2017,31996,AH 0011,05,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['T 0630pm-0900pm 01/17-05/02 CNS 6'],Philip I.  Eliasoph,24,23,1
99,Spring2017,32889,AH 0013,01,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['MR 0200pm-0315pm 01/17-05/02 CNS 6'],Ive E.  Covaci,25,24,1
100,Spring2017,31976,AH 0014,01,3.000,Art of Asia,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['MR 1100am-1215pm 01/17-05/02 CNS 6'],Ive E.  Covaci,25,26,-1
101,Spring2017,32890,AH 0109,01,3.000,Jewish Art: Moses to Modernity,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'CNS 6'}]",['W 0200pm-0430pm 01/17-05/02 CNS 6'],Philip I.  Eliasoph,25,18,7
